DGP,Simulation,algorithm,time
1,1,Krls:single,0.078000000000003
1,1,SL:single,3.187
1,1,Krls:cross,0.0570000000000022
1,1,SL:cross,2.182
1,1,Krls:ps,0.0129999999999981
1,1,SL:ps,2.655
1,1,Krls:pps,0.00600000000000023
1,1,SL:pps,1.913
1,1,Bal:SL:ps,0
1,1,Bal:SL:Yd,0
1,1,Bal:SL:pps,0.00100000000000477
1,2,Krls:single,0.0110000000000028
1,2,SL:single,2.875
1,2,Krls:cross,0.0410000000000039
1,2,SL:cross,2.392
1,2,Krls:ps,0.0150000000000006
1,2,SL:ps,2.59399999999999
1,2,Krls:pps,0.0170000000000101
1,2,SL:pps,1.572
1,2,Bal:SL:ps,0.000999999999990564
1,2,Bal:SL:Yd,0
1,2,Bal:SL:pps,0.000999999999990564
1,3,Krls:single,0.0120000000000005
1,3,SL:single,2.78100000000001
1,3,Krls:cross,0.0390000000000015
1,3,SL:cross,1.78999999999999
1,3,Krls:ps,0.00399999999999068
1,3,SL:ps,2.53999999999999
1,3,Krls:pps,0.0210000000000008
1,3,SL:pps,2.14399999999999
1,3,Bal:SL:ps,0
1,3,Bal:SL:Yd,0
1,3,Bal:SL:pps,0.00100000000000477
1,4,Krls:single,0.0109999999999957
1,4,SL:single,2.959
1,4,Krls:cross,0.0379999999999967
1,4,SL:cross,1.929
1,4,Krls:ps,0.007000000000005
1,4,SL:ps,2.43799999999999
1,4,Krls:pps,0.00499999999999545
1,4,SL:pps,1.72200000000001
1,4,Bal:SL:ps,0
1,4,Bal:SL:Yd,0.00100000000000477
1,4,Bal:SL:pps,0.00100000000000477
1,5,Krls:single,0.00600000000000023
1,5,SL:single,2.84
1,5,Krls:cross,0.0390000000000015
1,5,SL:cross,1.98599999999999
1,5,Krls:ps,0.0100000000000051
1,5,SL:ps,2.7
1,5,Krls:pps,0.00800000000000978
1,5,SL:pps,2.10499999999999
1,5,Bal:SL:ps,0
1,5,Bal:SL:Yd,0
1,5,Bal:SL:pps,0.00100000000000477
1,6,Krls:single,0.00399999999999068
1,6,SL:single,2.75700000000001
1,6,Krls:cross,0.0369999999999919
1,6,SL:cross,1.82599999999999
1,6,Krls:ps,0.00499999999999545
1,6,SL:ps,2.57600000000001
1,6,Krls:pps,0.00400000000000489
1,6,SL:pps,2.08
1,6,Bal:SL:ps,0.00100000000000477
1,6,Bal:SL:Yd,0
1,6,Bal:SL:pps,0.00100000000000477
1,7,Krls:single,0.00799999999999557
1,7,SL:single,2.813
1,7,Krls:cross,0.0400000000000063
1,7,SL:cross,2.46600000000001
1,7,Krls:ps,0.012999999999991
1,7,SL:ps,2.618
1,7,Krls:pps,0.0240000000000009
1,7,SL:pps,2.00800000000001
1,7,Bal:SL:ps,0
1,7,Bal:SL:Yd,0
1,7,Bal:SL:pps,0.00100000000000477
1,8,Krls:single,0.0109999999999957
1,8,SL:single,2.968
1,8,Krls:cross,0.039999999999992
1,8,SL:cross,2.16099999999999
1,8,Krls:ps,0.00499999999999545
1,8,SL:ps,2.518
1,8,Krls:pps,0.0120000000000005
1,8,SL:pps,1.776
1,8,Bal:SL:ps,0
1,8,Bal:SL:Yd,0.00699999999999079
1,8,Bal:SL:pps,0.00200000000000955
1,9,Krls:single,0.0120000000000005
1,9,SL:single,2.78200000000001
1,9,Krls:cross,0.0390000000000157
1,9,SL:cross,1.93099999999998
1,9,Krls:ps,0.00900000000001455
1,9,SL:ps,2.58599999999998
1,9,Krls:pps,0.00600000000000023
1,9,SL:pps,2.13999999999999
1,9,Bal:SL:ps,0
1,9,Bal:SL:Yd,0
1,9,Bal:SL:pps,0.00200000000000955
1,10,Krls:single,0.00499999999999545
1,10,SL:single,2.79400000000001
1,10,Krls:cross,0.0390000000000157
1,10,SL:cross,2.21199999999999
1,10,Krls:ps,0.0190000000000055
1,10,SL:ps,2.96199999999999
1,10,Krls:pps,0.0209999999999866
1,10,SL:pps,2.85199999999998
1,10,Bal:SL:ps,0
1,10,Bal:SL:Yd,0.00100000000000477
1,10,Bal:SL:pps,0.00100000000000477
2,1,Krls:single,0.0169999999999959
2,1,SL:single,3.00700000000001
2,1,Krls:cross,0.0430000000000064
2,1,SL:cross,2.71100000000001
2,1,Krls:ps,0.0149999999999864
2,1,SL:ps,3.179
2,1,Krls:pps,0.00699999999997658
2,1,SL:pps,2.239
2,1,Bal:SL:ps,0
2,1,Bal:SL:Yd,0
2,1,Bal:SL:pps,0.00100000000000477
2,2,Krls:single,0.00799999999998136
2,2,SL:single,3.12199999999999
2,2,Krls:cross,0.0589999999999975
2,2,SL:cross,2.745
2,2,Krls:ps,0.0279999999999916
2,2,SL:ps,3.90799999999999
2,2,Krls:pps,0.0339999999999918
2,2,SL:pps,2.18299999999999
2,2,Bal:SL:ps,0
2,2,Bal:SL:Yd,0.00199999999998113
2,2,Bal:SL:pps,0.00199999999998113
2,3,Krls:single,0.00800000000000978
2,3,SL:single,3.69300000000001
2,3,Krls:cross,0.0500000000000114
2,3,SL:cross,2.541
2,3,Krls:ps,0.0149999999999864
2,3,SL:ps,3.023
2,3,Krls:pps,0.0220000000000198
2,3,SL:pps,2.571
2,3,Bal:SL:ps,0.00100000000000477
2,3,Bal:SL:Yd,0.0029999999999859
2,3,Bal:SL:pps,0.00199999999998113
2,4,Krls:single,0.00199999999998113
2,4,SL:single,3.80099999999999
2,4,Krls:cross,0.0300000000000011
2,4,SL:cross,2.74100000000001
2,4,Krls:ps,0.0190000000000055
2,4,SL:ps,3.27000000000001
2,4,Krls:pps,0.0169999999999959
2,4,SL:pps,1.39500000000001
2,4,Bal:SL:ps,0
2,4,Bal:SL:Yd,0
2,4,Bal:SL:pps,0.00199999999998113
2,5,Krls:single,0.0160000000000196
2,5,SL:single,3.15799999999999
2,5,Krls:cross,0.0440000000000111
2,5,SL:cross,2.476
2,5,Krls:ps,0.0150000000000148
2,5,SL:ps,2.93199999999999
2,5,Krls:pps,0.0130000000000052
2,5,SL:pps,2.34399999999999
2,5,Bal:SL:ps,0
2,5,Bal:SL:Yd,0
2,5,Bal:SL:pps,0.00199999999998113
2,6,Krls:single,0.00800000000000978
2,6,SL:single,3.22200000000001
2,6,Krls:cross,0.0349999999999966
2,6,SL:cross,2.649
2,6,Krls:ps,0.0260000000000105
2,6,SL:ps,3.33999999999998
